Date,E_INT_Daily_kWh,P_AC_W,P_DC_W,F_AC_Hz,I_AC_A,I_DC_A,U_AC_V,U_DC_V,R_ISO_MOhm,T_WR1_C,T_WR2_C,G_M1_Wm2,G_M2_Wm2,G_M0_Wm2,E_Z_EVU_Daily_kWh
2020-01-01,0.0,,,,,,,,,,,192.8125,191.69791666666663,192.25520833333331,0.0
2020-01-02,0.0,,,,,,,,,,,183.875,182.28125,183.078125,0.0
2020-01-03,0.0,,,,,,,,,,,201.66666666666663,199.65625,200.66145833333331,0.0
2020-01-04,0.0,,,,,,,,,,,140.22916666666666,139.42708333333334,139.828125,0.0
2020-01-05,0.0,,,,,,,,,,,174.35416666666666,172.52083333333334,173.4375,0.0
2020-01-06,0.0,,,,,,,,,,,189.70833333333331,186.52083333333331,188.11458333333331,0.0
2020-01-07,0.0,,,,,,,,,,,204.42708333333331,201.63541666666663,203.03125,0.0
2020-01-08,0.0,,,,,,,,,,,206.03125,202.80208333333331,204.41666666666663,0.0
2020-01-09,0.0,,,,,,,,,,,197.75,194.25,196.0,0.0
2020-01-10,0.0,,,,,,,,,,,196.58333333333331,193.11458333333331,194.84895833333331,0.0
2020-01-11,0.0,,,,,,,,,,,142.67708333333334,142.125,142.40104166666666,0.0
2020-01-12,0.0,,,,,,,,,,,49.677083333333336,49.895833333333336,49.786458333333336,0.0
2020-01-13,0.0,,,,,,,,,,,34.947916666666664,35.083333333333336,35.015625,0.0
2020-01-14,0.0,,,,,,,,,,,175.09375,171.14583333333334,173.11979166666666,0.0
2020-01-15,0.0,,,,,,,,,,,205.83333333333331,201.57291666666663,203.703125,0.0
2020-01-16,0.0,,,,,,,,,,,214.09375,209.72916666666663,211.91145833333331,0.0
2020-01-17,0.0,,,,,,,,,,,194.84375,191.4375,193.140625,0.0
2020-01-18,0.0,,,,,,,,,,,165.20833333333334,164.79166666666666,165.0,0.0
2020-01-19,0.0,,,,,,,,,,,125.4375,124.67708333333331,125.05729166666669,0.0
2020-01-20,0.0,,,,,,,,,,,93.8125,93.09375,93.453125,0.0
2020-01-21,0.0,,,,,,,,,,,209.41666666666663,206.03125,207.72395833333331,0.0
2020-01-22,0.0,,,,,,,,,,,213.67708333333331,210.5,212.08854166666663,0.0
2020-01-23,0.0,,,,,,,,,,,216.79166666666663,213.97916666666663,215.38541666666663,0.0
2020-01-24,0.0,,,,,,,,,,,191.69791666666663,190.08333333333331,190.890625,0.0
2020-01-25,0.0,,,,,,,,,,,198.58333333333331,196.66666666666663,197.625,0.0
2020-01-26,0.0,,,,,,,,,,,27.822916666666668,28.072916666666668,27.947916666666668,0.0
2020-01-27,0.0,,,,,,,,,,,192.97916666666663,190.51041666666663,191.74479166666663,0.0
2020-01-28,0.0,,,,,,,,,,,179.46875,178.21875,178.84375,0.0
2020-01-29,0.0,,,,,,,,,,,162.47916666666666,160.70833333333334,161.59375,0.0
2020-01-30,0.0,,,,,,,,,,,220.54166666666663,218.03125,219.28645833333331,0.0
2020-01-31,0.0,,,,,,,,,,,231.65625,229.13541666666663,230.39583333333331,0.0
2020-02-01,0.0,,,,,,,,,,,215.34375,213.5625,214.453125,0.0
2020-02-02,0.0,,,,,,,,,,,167.27083333333334,166.97916666666666,167.125,0.0
2020-02-03,0.0,,,,,,,,,,,207.36458333333331,205.42708333333331,206.39583333333331,0.0
2020-02-04,0.0,,,,,,,,,,,87.48958333333333,86.03125,86.76041666666667,0.0
2020-02-05,0.0,,,,,,,,,,,109.875,108.59375,109.234375,0.0
2020-02-06,0.0,,,,,,,,,,,222.44791666666663,220.01041666666663,221.22916666666663,0.0
2020-02-07,0.0,,,,,,,,,,,213.46875,213.11458333333331,213.29166666666663,0.0
2020-02-08,0.0,,,,,,,,,,,209.36458333333331,208.98958333333331,209.17708333333331,0.0
2020-02-09,0.0,,,,,,,,,,,217.84782608695653,216.2717391304348,217.05978260869568,0.0
2020-02-10,0.0,,,,,,,,,,,157.32075471698113,156.24528301886792,156.78301886792454,0.0
2020-02-11,0.0,,,,,,,,,,,237.3125,235.39583333333331,236.35416666666663,0.0
2020-02-12,0.0,,,,,,,,,,,205.89583333333331,204.10416666666663,205.0,0.0
2020-02-13,0.0,,,,,,,,,,,233.96875,232.27083333333331,233.11979166666663,0.0
2020-02-14,0.0,,,,,,,,,,,48.90625,48.90625,48.90625,0.0
2020-02-15,0.0,,,,,,,,,,,264.9479166666667,262.53125,263.7395833333333,0.0
2020-02-16,0.0,,,,,,,,,,,263.34375,261.1354166666667,262.2395833333333,0.0
2020-02-17,0.0,,,,,,,,,,,265.5625,263.3333333333333,264.4479166666667,0.0
2020-02-18,0.0,,,,,,,,,,,260.5208333333333,258.4166666666667,259.46875,0.0
2020-02-19,0.0,,,,,,,,,,,155.46875,155.32291666666666,155.39583333333334,0.0
2020-02-20,0.0,,,,,,,,,,,228.85416666666663,227.78125,228.31770833333331,0.0
2020-02-21,0.0,,,,,,,,,,,273.9791666666667,271.71875,272.8489583333333,0.0
2020-02-22,0.0,,,,,,,,,,,271.4791666666667,269.1145833333333,270.296875,0.0
2020-02-23,0.0,,,,,,,,,,,251.26041666666663,249.28125,250.27083333333331,0.0
2020-02-24,0.0,,,,,,,,,,,269.9791666666667,267.7395833333333,268.859375,0.0
2020-02-25,0.0,,,,,,,,,,,219.25,217.69791666666663,218.47395833333331,0.0
2020-02-26,0.0,,,,,,,,,,,171.6875,170.39583333333334,171.04166666666666,0.0
2020-02-27,0.0,,,,,,,,,,,245.51612903225808,243.2150537634409,244.36559139784947,0.0
2020-02-28,0.0,,,,,,,,,,,59.94444444444444,60.138888888888886,60.04166666666666,0.0
2020-02-29,0.0,,,,,,,,,,,257.8229166666667,256.6041666666667,257.2135416666667,0.0
2020-03-01,0.0,,,,,,,,,,,170.04166666666666,170.39583333333334,170.21875,0.0
2020-03-02,0.0,,,,,,,,,,,185.875,186.23958333333331,186.05729166666663,0.0
2020-03-03,0.0,,,,,,,,,,,63.03125,63.489583333333336,63.26041666666666,0.0
2020-03-04,0.0,,,,,,,,,,,183.83333333333331,183.0,183.41666666666663,0.0
2020-03-05,0.0,,,,,,,,,,,273.25,271.5,272.375,0.0
2020-03-06,0.0,,,,,,,,,,,88.03370786516854,87.93258426966293,87.98314606741573,0.0
2020-03-07,0.0,,,,,,,,,,,81.47916666666667,81.63541666666667,81.55729166666667,0.0
2020-03-08,0.0,,,,,,,,,,,90.45833333333331,90.61111111111111,90.53472222222224,0.0
2020-03-09,0.0,,,,,,,,,,,274.1666666666667,273.15625,273.6614583333333,0.0
2020-03-10,0.0,,,,,,,,,,,230.23958333333331,228.98958333333331,229.61458333333331,0.0
2020-03-11,0.0,,,,,,,,,,,262.28125,260.8854166666667,261.5833333333333,0.0
2020-03-12,0.0,,,,,,,,,,,300.3020833333333,298.0833333333333,299.1927083333333,0.0
2020-03-13,0.0,,,,,,,,,,,290.8526315789473,289.09473684210525,289.9736842105263,0.0
2020-03-14,0.0,,,,,,,,,,,280.34375,279.1770833333333,279.7604166666667,0.0
2020-03-15,0.0,,,,,,,,,,,274.9791666666667,274.2395833333333,274.609375,0.0
2020-03-16,3775.0,301048.3511176471,306382.6149019608,49.99156862745098,463.574431372549,462.4002745098039,359.69488235294114,386.7807843137255,193.5809411764706,49.194117647058825,32.34901960784314,307.34375,305.5625,306.453125,3775.0
2020-03-17,5639.0,235023.29957291667,239232.51404166667,49.99760416666667,362.7110104166666,370.30165625,358.20925000000005,352.7271875,168.81940625,41.19375,26.49791666666667,295.7708333333333,294.9270833333333,295.3489583333333,5639.0
2020-03-18,5913.0,246415.1679375,250804.99829166665,49.99927083333333,381.39369791666667,369.9473020833333,356.6923333333333,367.8933333333334,156.61079166666667,42.44791666666666,26.503125,297.5208333333333,295.71875,296.6197916666667,5913.0
2020-03-19,4235.0,176641.79408333334,179457.33347916664,49.99916666666667,276.5466666666667,271.16852083333333,355.5505,361.46229166666666,170.20602083333333,43.23229166666667,27.94270833333333,224.875,224.19791666666663,224.53645833333331,4235.0
2020-03-20,3902.0,307068.16920754715,311369.2571320755,49.995849056603774,473.3211132075472,491.4261320754717,359.19764150943394,389.5545283018868,182.7336226415094,49.28490566037736,31.864150943396226,395.1090909090909,390.8727272727273,392.9909090909091,3902.0
2020-03-21,4672.0,194393.37853125003,197117.2035833333,50.0021875,302.79816666666665,295.79503125,355.66432291666666,361.07447916666666,152.04377083333333,43.19166666666666,27.710416666666664,237.79166666666663,237.36458333333331,237.578125,4672.0
2020-03-22,4407.0,183821.10169791663,186394.36791666667,50.0040625,289.23115625,285.22016666666667,354.3021458333333,356.10041666666666,150.84422916666668,44.58125,29.76354166666667,228.14583333333331,227.60416666666663,227.875,4407.0
2020-03-23,4134.0,172626.0960625,175069.81825,49.99895833333333,269.71997916666663,248.1950104166667,354.02972916666664,374.4172916666666,219.7577395833333,42.41875,25.538541666666664,206.38541666666663,204.52083333333331,205.453125,4134.0
2020-03-24,5572.0,232447.39303125,235820.1498854167,49.99458333333333,360.50359375,329.93052083333333,357.20958333333334,386.16114583333336,201.10847916666668,41.87291666666667,24.6,275.1979166666667,275.5104166666667,275.3541666666667,5572.0
2020-03-25,686.0,33059.92738554216,33773.505,45.33228915662651,54.08048192771085,68.37514457831325,317.7446428571428,420.2801204819277,97.89884337349396,40.0144578313253,18.198795180722893,56.69047619047619,57.15476190476191,57.66265060240964,704.0
2020-03-26,282.0,23415.58984,23791.61316,49.3204,38.22934,41.755320000000005,344.74818,362.5124,37.8359,45.792,21.924,37.0,37.5,37.25,282.0
2020-03-27,4104.0,170412.65622916666,173201.8865,50.000416666666666,267.07423958333334,256.42484375,354.33442708333337,369.85,177.28365625,44.38645833333334,27.109375,210.61458333333331,210.48958333333331,210.55208333333331,4104.0
2020-03-28,2079.0,86500.72686458334,87927.72102083334,49.998020833333335,137.74691666666666,131.97076041666665,353.6339791666667,373.3410416666666,137.73857291666667,45.36354166666666,25.240625,107.89583333333331,108.77083333333331,108.33333333333331,2079.0
2020-03-29,3937.0,173135.5434945055,176115.7914615385,50.001868131868136,271.44746153846154,264.56313186813185,354.5185054945055,389.6508791208792,128.4518241758242,43.32417582417583,27.224175824175827,212.17582417582415,211.8021978021978,211.98901098901095,3937.0
